KASARGOD,DATE,CONFIRMED ,RECOVERED ,ACTIVE,DEATH
kollam,22-05-2020,1,0,10,0
kollam,23-05-2020,3,1,12,0
kollam,24-05-2020,3,0,15,0
kollam,25-05-2020,2,2,15,0
kollam,26-05-2020,4,0,19,0
kollam,27-05-2020,4,0,23,0
kollam,28-05-2020,1,0,24,0
kollam,29-05-2020,2,0,26,0
kollam,30-05-2020,4,0,30,0
kollam,31-05-2020,6,0,36,0
kollam,1/6/2020,5,0,41,0
kollam,2/6/2020,8,0,49,0
kollam,3/6/2020,5,2,52,0
kollam,4/6/2020,11,0,62,1
kollam,5/6/2020,2,0,64,0
kollam,6/6/2020,19,2,81,0
kollam,7/6/2020,9,3,87,0
kollam,8/6/2020,5,0,92,0
kollam,9/6/2020,5,3,94,0
kollam,10/6/2020,4,4,94,0
kollam,11/6/2020,8,2,100,0
kollam,12/6/2020,4,7,97,0
kollam,14-06-2020,1,0,98,0
kollam,15-06-2020,4,11,91,0
kollam,16-06-2020,4,1,94,0
kollam,17-06-2020,14,4,104,0
kollam,18-06-2020,13,8,109,0
kollam,19-06-2020,17,14,112,0
kollam,20-06-2020,24,2,134,0
THIRUVANATHAPURAM,13-03-2020,3,0,3,0
thiruvanathapuram,15-03-2020,1,0,4,0
thiruvanathapuram,24-03-2020,1,0,5,0
thiruvanathapuram,25-03-2020,0,1,4,0
thiruvanathapuram,28-03-2020,2,1,5,0
thiruvanathapuram,29-03-2020,1,0,6,0
thiruvanathapuram,31-03-2020,2,0,7,1
thiruvanathapuram,1/4/2020,2,1,8,0
thiruvanathapuram,2/4/2020,1,1,8,0
thiruvanathapuram,4/4/2020,0,1,7,0
thiruvanathapuram,7/4/2020,0,1,6,0
thiruvanathapuram,8/4/2020,0,2,4,0
thiruvanathapuram,9/4/2020,1,0,5,0
thiruvanathapuram,11/4/2020,0,3,2,0
thiruvanathapuram,21-04-2020,0,1,1,0
thiruvanathapuram,23-04-2020,1,0,2,0
thiruvanathapuram,26-04-2020,0,1,1,0
thiruvanathapuram,27-04-2020,0,1,0,0
thiruvanathapuram,29-04-2020,2,0,2,0
thiruvanathapuram,4/5/2020,0,2,0,0
thiruvanathapuram,18-05-2020,4,0,4,0
thiruvanathapuram,20-05-2020,2,0,6,0
thiruvanathapuram,21-05-2020,2,0,8,0
thiruvanathapuram,24-05-2020,13,0,21,0
thiruvanathapuram,25-05-2020,5,0,26,0
thiruvanathapuram,28-05-2020,8,0,33,1
thiruvanathapuram,29-05-2020,5,0,38,0
thiruvanathapuram,30-05-2020,2,1,39,0
thiruvanathapuram,31-05-2020,4,1,42,0
thiruvanathapuram,1/6/2020,3,3,42,0
thiruvanathapuram,2/6/2020,7,2,46,1
thiruvanathapuram,3/6/2020,14,6,54,0
thiruvanathapuram,4/6/2020,5,1,58,0
thiruvanathapuram,5/6/2020,5,1,62,0
thiruvanathapuram,6/6/2020,3,0,65,0
thiruvanathapuram,7/6/2020,4,1,68,0
thiruvanathapuram,8/6/2020,3,0,71,0
thiruvanathapuram,9/6/2020,10,11,70,0
thiruvanathapuram,10/6/2020,6,3,73,0
thiruvanathapuram,11/6/2020,0,16,57,0
thiruvanathapuram,12/6/2020,1,2,56,0
thiruvanathapuram,13-06-2020,0,4,52,0
thiruvanathapuram,14-06-2020,4,4,52,0
thiruvanathapuram,15-06-2020,1,3,49,1
thiruvanathapuram,16-06-2020,4,14,39,0
thiruvanathapuram,17-06-2020,3,10,32,0
thiruvanathapuram,18-06-2020,5,9,28,0
thiruvanathapuram,19-06-2020,8,4,32,0
thiruvanathapuram,20-06-2020,5,2,35,0
